Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,BT1,Battery_Cell,device:Battery_Cell,Connectors_JST:JST_EH_B02B-EH-A_02x2.50mm_Straight,
2,3,"C1, C2, C24",1nF,device:C,Capacitors_SMD:C_0603,
3,9,"C3, C5, C20, C27, C28, C30, C37, C40, C42",10uF,device:C,Capacitors_SMD:C_0603,
4,15,"C4, C6, C7, C8, C9, C10, C11, C12, C19, C21, C22, C23, C29, C38, C39",0.1uF,device:C,Capacitors_SMD:C_0603,
5,2,"C13, C14",4.7uF,device:C,Capacitors_SMD:C_0603,
6,5,"C15, C16, C26, C33, C34",1uF,device:C,Capacitors_SMD:C_0603,
7,2,"C17, C18",2.2uF,device:C,Capacitors_SMD:C_0603,
8,2,"C25, C41",100uF,device:CP,Capacitors_SMD:CP_Elec_5x5.3,
9,2,"C31, C32",2.2nF,device:C,Capacitors_SMD:C_0603,
10,2,"C35, C36",100uF,device:CP,PaperSynth:CP_Elec_5x5.3_0603-capable,
11,2,"D1, D3",ESD05V88D-LC,papersynth:ESD05V88D-LC,PaperSynth:D_SOD-882,
12,5,"D2, D4, D5, D6, D7",D_Schottky,device:D_Schottky,Diodes_SMD:D_SOD-323,
13,1,J1,USB_OTG,conn:USB_OTG,Connectors:USB_Micro-B_10103594-0001LF,
14,2,"J2, J5",JACK_2P,papersynth:JACK_2P,PaperSynth:JACK3.5mm_MJ1-3510-SMT,
15,1,J3,Micro_SD_Card_Det,conn:Micro_SD_Card_Det,PaperSynth:MicroSD_PushIn-PullOut_card-detect,
16,1,J4,JACK_TRS_5PINS,papersynth:JACK_TRS_5PINS,Connectors:PJ31060-I_3.5mm_Jack,
17,1,LS1,Speaker,device:Speaker,Connectors_JST:JST_EH_B02B-EH-A_02x2.50mm_Straight,
18,2,"Q1, Q2",Q_NPN_BEC,device:Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
19,6,"R1, R2, R17, R18, R19, R20",5.1k,device:R,Resistors_SMD:R_0603,
20,3,"R3, R4, R22",12k,device:R,Resistors_SMD:R_0603,
21,5,"R5, R6, R9, R28, R29",470,device:R,Resistors_SMD:R_0603,
22,2,"R7, R8",0R,device:R,Resistors_SMD:R_0603,
23,3,"R10, R11, R12",75k,device:R,Resistors_SMD:R_0603,
24,4,"R13, R21, R27, R33",10k,device:R,Resistors_SMD:R_0603,
25,1,R14,6.8k,device:R,Resistors_SMD:R_0603,
26,1,R15,2.8k,device:R,Resistors_SMD:R_0603,
27,1,R16,2k,device:R,Resistors_SMD:R_0603,
28,2,"R23, R25",10R,device:R,Resistors_SMD:R_0603,
29,2,"R24, R26",300,device:R,Resistors_SMD:R_0603,
30,2,"R30, R31",100k,device:R,Resistors_SMD:R_0603,
31,1,R32,1k,device:R,Resistors_SMD:R_0603,
32,2,"SW1, SW2",SW_Push,switches:SW_Push,Buttons_Switches_SMD:SW_SPST_EVQPE1,
33,1,U1,CP2102,papersynth:CP2102,PaperSynth:QFN-28-1EP_5x5mm_Pitch0.5mm_cornerPad,
34,3,"U2, U3, U4",MPR121,papersynth:MPR121,PaperSynth:UQFN-20-1EP_3x3mm_Pitch0.4mm_nopad,
35,1,U5,FINGER_CONN_36,papersynth:FINGER_CONN_36,PaperSynth:36pin_IO_finger_interface,
36,1,U6,MCP73871,papersynth:MCP73871,Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm,
37,1,U7,8x8_LED_MATRIX_RG,papersynth:8x8_LED_MATRIX_RG,PaperSynth:8x8_RG_LED_MATRIX,
38,1,U8,PCM5102A,papersynth:PCM5102A,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,
39,1,U9,MIC5891,papersynth:MIC5891,Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm,
40,1,U10,PCA9745B,papersynth:PCA9745B,PaperSynth:HTSSOP-28_4.4x9.7mm_Pitch0.65mm_SmallThermalPad,
41,1,U11,LDL212PU33R,papersynth:LDL212PU33R,Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.5mm,
42,1,U12,ESP-WROOM-32,papersynth:ESP-WROOM-32,ESP32-footprints-Lib:ESP32-WROOM,
43,1,U13,TPA0253,papersynth:TPA0253,Housings_SSOP:MSOP-10-1EP_3x3mm_Pitch0.5mm,
